==> Generando apps/metro/moonlit_icons_table.c
icono                      px  tonos  
play_arrow                 16     20  OK
play_arrow                 24     25  OK
play_arrow                 40     42  OK
pause                      16     12  OK
pause                      24     15  OK
pause                      40     23  OK
skip_next                  16     20  OK
skip_next                  24     21  OK
skip_next                  40     39  OK
skip_previous              16     19  OK
skip_previous              24     20  OK
skip_previous              40     38  OK
repeat                     16     15  OK
repeat                     24     12  OK
repeat                     40     24  OK
shuffle                    16     22  OK
shuffle                    24     28  OK
shuffle                    40     56  OK
volume_up                  16     48  OK
volume_up                  24     59  OK
volume_up                  40     90  OK
favorite                   16     48  OK
favorite                   24     71  OK
favorite                   40    101  OK
sync                       16     34  OK
sync                       24     40  OK
sync                       40     70  OK
album                      16     22  OK
album                      24     32  OK
album                      40     47  OK
person                     16     34  OK
person                     24     27  OK
person                     40     78  OK
queue_music                16     19  OK
queue_music                24      5  OK
queue_music                40     37  OK
photo                      16     10  OK
photo                      24     14  OK
photo                      40     25  OK
movie                      16     31  OK
movie                      24     10  OK
movie                      40     46  OK
settings                   16     56  OK
settings                   24     66  OK
settings                   40    113  OK
info                       16     23  OK
info                       24     25  OK
info                       40     49  OK
lock                       16     16  OK
lock                       24     10  OK
lock                       40     31  OK
battery_full               16     11  OK
battery_full               24     10  OK
battery_full               40     15  OK
battery_charging_full      16     23  OK
battery_charging_full      24     15  OK
battery_charging_full      40     43  OK
usb                        16     25  OK
usb                        24     15  OK
usb                        40     54  OK
==> firmware/rockbox/apps/metro/moonlit_icons_table.c (20 iconos x 3 tamanos)
==> listo
